"","Group","N-Acetyl-L-glutamate 5-semialdehyde","1-Aminocyclopropane-1-carboxylate","1-Pyrroline-4-hydroxy-2-carboxylate 3_?","2-Acetyl-aminoadipate_?","2-Amino-6-oxopimelate","2-Aminoacrylate","2-aminoadipate-6-semialdehyde","2-Aminoadipate 1_?","2-Deoxy-D-ribose 1-phosphate","2,6-Diaminoheptanedioate 1_?","2,6-Diaminoheptanedioate 1","2.3-Dihydrozy-2-methylpentanoate 2","3-Amino-isobutanoate 1_?","3-Methyl-2-oxopentanoate 1_?","4-Acetylaminobutanal_?","4-Amino-4-cyanobutanoic acid_?","3-Amino-isobutanoate 1","5-Methylthioadenosine","Pyrroline-3-hydroxy-5-carboxylate 2","Acetolactate_?","Acetyl-2, 6-diaminopimelate","Acetylhomoserine 2","Acetylmuramate","Acetylornithine","Adenine","deoxyguanosine 1","AICAR","alpha-Aminopropiononitrile","Anthranilate 1","Arginine","aspartate","alanine 1","Carbamoyl-L-aspartate","Homo-cisaconitate 2","Cis-aconitate","Citrate","Citrulline","Cysteine","d-ala-d-ala 2_?","deoxyguanosine 1_?","Deoxyribose 2","Dimethylmalate 1_?","Erithro-3-Methylmalate 2","erythro-4-Hydroxyglutamate","Ethyl malate 2_?","Formyl-methionine","Fumarate","Galactono-1,4-lactone","Glucose_?","glutamate","glutamine","Glutamylcysteine_?","gly","Glycerate","Guanosine","Hexose phosphates","Histidine","Homo-cisaconitate 2_?","Methylcitrate 1","homoserine 2_?","Homovanillate_?","Hydroxyectoine_?","hypoxanthine","Isopropylmalate","Isopropylmaleate","ketoglutarate","lactate","Leucine","lysine","malate","Methylglyoxal_?","methylmaleate 1","d-ala-d-ala 2","Norepinephrine","Ornithine","PABA 2_?","Phenylalanine","Phosphoenolpyruvate","proline","Pyrrole-2-carboxylate","Pyrroline-3-hydroxy-5-carboxylate 2_?","Pyruvate","S-Adenosylmethionine","serine_?","succinate","succinate semialdehyde 1","Succinyl-LL-2,6-diaminopimelate 1","Tartronate semialdehyde_?","Threonine 1","tryptophane","Tyramine_?","Tyrosine","UDP-N-acetylmuramate","valine","Aminobutyraldehyde","Aspartate 4-semialdehyde","2-Dehydro-3-deoxy-L-rhamnonate 3","glyceraldehyde3p","hexose diphosphate","pentose 5-phosphate","Sedoheptulose 7-phosphate 1"
"F30658_11","F30658",2435.85788073731,519653.892604675,28615.681060791,222.533342811585,52662.8047172851,12122.3325410157,30801.2410850525,3195.02220462036,2324.86375354004,171.032754302987,12704.972683075,4054.17975843811,3434.72370846557,8496.05027966309,7651.53774559022,NA,38725.6647950134,30115.6436104889,684378.311109558,2250.82226502991,9953.40913648988,53378.6311444702,282.896988601684,11718.9554716949,16274.4544611816,4872.3254086914,8498.44996048737,17603.2725112915,8500.35637976072,16740.1701291199,166253.217195984,187830.050645447,4726.58585455322,NA,5936.95505976867,114231.706248871,53261.6918862915,11913.0588598175,17239.3606102448,1673.40849246216,1751.94718341064,1096.39038117981,29358.2734998779,23133.2739426117,17268.585673729,1539.41830311584,1442.55974585724,56365.4685686645,2651.59091622925,705651.639000703,7230.06649194336,6368.68448553466,17025.2100122375,10175.7112691727,2069.27879705047,150424.708344009,5725.05118377685,891.504307708742,2532.95955657959,7845.59914674377,1060.13023945618,7751.52312797548,3547.4104291687,38646.7165352631,3779.08495739746,20496.4354227142,4770.39867172241,271479.278793091,13393.3568599548,8239.7975933075,1088.77455040741,2505.86979975128,28233.2663007355,5822.08570678712,32051.942812744,1792.23907379151,117553.593470734,861.215030181886,24735.2861428528,13021.5918342059,38934.659635376,1895.33123964691,4921.23838787843,1047047.57716187,5684.24746092224,5953.31451002502,33860.0473188629,1847.26469633484,63398.565541687,6008.9614424591,2597.75813117981,22826.6119687347,NA,157056.420354004,8860.89133789063,2493.41269088745,21398.6557329178,183339.139829506,5928.88535617829,64109.7889513397,112874.081580513
"F30658_12","F30658",5240.11120533753,530215.09796173,23878.2165179748,216.978542358399,62392.7251904297,12304.5484757385,41479.8175131226,3227.87438639832,2506.74394026184,403.266414230337,15361.311980835,3551.52588427734,5380.07059466552,8517.44449397278,6980.74174719237,NA,37768.0656727906,33742.5529806366,704075.116051635,1821.53299963379,10223.216540802,56369.9906821289,361.10377505493,9402.7826434326,16971.2319509888,4970.5448161621,10497.4520299988,17950.6907893066,9524.04570092774,15468.8430393066,176079.842047134,169844.658794495,4733.24676438903,NA,6782.59884627533,124194.770719666,53431.246983017,15308.6012042999,15937.0986143036,1332.00636894989,2045.86148126221,1164.07784622192,31953.3862100525,21096.9116982422,16489.8266372528,610.826267120359,1394.70456004333,60042.3247872009,2605.59246412659,721068.734355357,7411.76284698487,6339.31387643433,17260.3724908295,10305.1153166428,1285.73026560974,143718.065284073,8594.20060012818,1115.58816667175,2801.78031565094,9679.46083329773,1256.53660003662,6324.99717233278,3571.24727212524,38796.332786087,4307.24394364929,19639.9101865082,2139.52480140686,284894.959846802,12849.8581311493,6962.74416117096,539.896009368896,3211.09893907165,27534.2116887513,9007.75961441039,29834.8296438292,2367.65312310791,125120.279827179,458.527784362793,22459.5621789398,12417.9710679723,32810.0213670349,1981.45800931549,4575.47775491333,991614.031206604,5302.78931221008,5266.60395248413,33190.7403417205,1968.38925107574,60819.6057028963,6408.51363362121,2938.03942059326,17236.013610138,NA,169209.696913574,8150.1054720459,1989.23618190002,20375.9659499207,184116.391979294,5441.45889073182,62288.6621679001,109990.892780914
"F34365_13","F34365",2847.36522363281,335424.487657531,19361.7991403046,892.941015457153,43604.4279863282,14675.8392950287,27094.1026241455,12336.8694013367,1355.08082669067,NA,8819.68947500606,1920.50331422424,12815.8282583313,8308.59155130005,12688.7564428253,NA,23006.123105896,21056.8014511414,445680.554833572,1672.87725408936,20287.606438919,57053.1117054595,1839.04002722168,7196.89127711488,11247.7197228088,3838.21721800232,11813.9316975708,12489.1006752624,16987.1420443115,14049.6162841797,148125.766252472,122643.165135834,7289.97442773437,1104.03119348907,4118.55077708435,60186.0948511353,57200.95869516,6485.64665106201,NA,14430.2933754272,9922.2625679779,432.918772247315,7255.19184233093,14678.1090884857,13204.6837908936,51527.0251584778,1708.92165170288,59349.1862570038,2776.67645214844,481978.96129406,4305.77860783386,4137.72768959045,90072.4458326949,161917.543162247,4114.04500108338,143902.772740379,5235.80874647524,926.551373474121,5060.89591818237,15074.199301239,674.310944725038,5960.16430279539,3277.74215213012,17757.658138916,2440.99796984863,16199.1314999008,4519.95543301391,132320.189838135,7853.50621983338,7510.6667920227,937.063518257141,1538.77912722778,20723.9158441162,5732.3839560852,18037.565552887,3148.83506658936,93256.7393911137,NA,22541.617317749,10649.2584418079,25994.0601081238,3495.70908434296,4035.09335568238,796125.294592407,3559.74373101807,4374.83955281067,6044.59964628601,1598.40607778931,59463.3927246399,6523.26811778259,3022.96716601562,25970.2958262177,1728.35382006836,201624.757746094,7355.52962231445,1503.86365846252,16135.505979187,128429.437161385,NA,52979.4817175979,112864.619336685
"F34365_14","F34365",3780.9001987915,362496.976696656,18185.4678347931,896.28868862915,55218.5302098693,14445.5149616699,37128.3756989135,11996.9552767334,1927.32187863922,306.839111419676,7098.2561809845,2124.96186279297,13361.738833313,8303.03688226318,13823.6598933106,NA,24579.8152705994,21764.4393588104,480869.173621919,2024.96935749054,14818.9691923981,65915.3127237094,1625.45437019348,6875.66278532408,12220.0306946106,3991.07994343567,9407.61798867798,15620.4606920167,15654.316000763,15645.3340218201,157206.310821472,130013.66045047,8074.45970301819,1374.2990738144,4994.64679916382,65152.2831759644,63492.6780467224,7493.98672554017,206.231682098387,9675.65916944887,9245.66957563783,444.053074798584,7660.86710069275,14364.8582283783,14827.0365652466,69839.2830037842,1481.15701799011,69986.5657544251,2153.45890283203,500429.90990448,4025.05945510864,1924.03485021975,36770.8214442292,124551.635018463,3428.44428490448,167646.801193794,4798.44026425171,993.827225158691,5910.43281530761,7290.4372816391,242.874555450439,6074.21960403441,4369.51979586792,17207.6405445709,2562.29825177002,15673.7852038422,2523.15360289765,148716.546925049,13150.8252818603,6700.71847476197,550.183818786621,1611.42988694,23364.461323883,2252.01812739563,18151.0238719483,1955.68654684448,97432.1553869018,615.184824935914,13478.7251284179,9938.07197348461,24010.847781311,2169.6355308609,3468.47456021118,921076.789425293,4025.39423812866,4439.9781499939,9987.22420353699,1459.19760229492,65356.6494331665,6371.431870224,3197.7782064209,32460.8054095917,2363.3853283081,191268.154444825,9429.57585571289,2363.04999726868,18115.0268565979,140159.214316101,NA,61030.9008958817,134047.281331627
"F34365_15","F34365",2832.12701325988,362342.549148102,18595.9600488739,561.763962348936,57721.139564209,15131.0052205047,37622.6910571289,12584.2606347656,1572.86585044861,709.651706359866,9134.30557199094,2558.12063670349,17252.5085169373,9222.34420098877,14567.7264416962,NA,22857.7069953613,21089.421488472,475934.48820105,2009.72003947449,15410.8727878875,62983.9487578277,901.628751197816,6430.36549893189,15173.7763685303,3380.83403553772,11818.5727848053,13120.3518901977,20396.9719934692,12678.0782688141,148834.641328888,133019.643762604,7374.33729190062,845.676139465334,4955.76152917481,63719.83234655,52842.7554536591,6374.26753277587,NA,12021.049166687,9923.23312358093,595.524172615053,8324.13670219421,14769.1643152313,14360.2433961487,27145.9771816101,1659.34113156128,68942.2740932311,2818.17057743835,489321.810080796,4254.40027841188,4234.92682531738,52272.5295789642,134874.633051781,4043.76023603821,150374.662575538,5939.80589418031,1062.88877908325,5138.61610131836,8890.80508915711,671.024260040284,7617.31361231998,3441.92589833069,19879.9009282989,2750.15062863159,15822.669457695,5380.39695753479,215192.576268677,10852.4313773194,7160.13213144684,1138.37538298798,1842.88167634583,21288.4601855316,2239.50463276672,20166.1256446228,5361.21032543947,94648.1467174685,461.132138504028,20007.5270267944,12617.6850483779,28212.4197478638,3572.56718797302,5004.65999916077,875218.080941406,4448.61203120422,4983.65909216309,7490.80552137757,1886.54072406006,63703.3262537536,3558.18351560973,2657.89277728272,25033.6510999298,578.777174194337,203989.030162598,9101.99704132079,2961.96178276062,17613.2067944946,138571.427977722,205.771577209474,56682.647304245,119292.773935486
"F63912_16","F63912",5052.38101335146,503711.974891054,28709.6111730957,NA,42120.8189560547,16418.5775305481,8979.31656213378,3845.91199281311,1737.55532740021,376.742721496573,9214.95801031497,2324.14021780396,16561.0398945923,7736.40703582763,26386.7797986908,NA,36566.9194836731,28238.8521658325,652444.14234569,1888.8372315979,24799.3628274537,92679.7288846284,114.667060684205,10381.9503508911,40152.6248582153,6093.69101257323,9366.24481929018,14437.9412931519,6503.56125988769,18333.4214452515,240798.907077057,352261.171822571,17119.8097200623,NA,6948.41590538788,108209.028333984,44338.8343503417,13286.7428605957,NA,2465.83365882873,3937.63467510223,1379.83502880859,13933.9210234985,11831.9762468872,14209.6624049072,296.448125366211,1752.96132771301,77721.4973621674,2847.02253286743,677610.880468979,7556.41515658569,5274.46154571532,116479.935143601,90138.7128286895,2681.88723558044,244080.108567917,7173.38694342042,1147.22366690063,5173.88951628876,12257.8336475525,1066.01103520966,5159.46946316526,6789.12935331726,36909.9419636078,5057.23619750977,23624.2955919037,6956.78872380066,440868.676970214,20212.6752709962,7037.05257364655,959.608108848572,2590.19135995483,41672.1516784973,1313.87623071289,24699.7673417053,2711.9941817627,125957.735409546,835.568943115232,29652.126935379,10096.6870922165,42442.766388855,4107.88227104187,8046.45680158998,880097.808593629,5808.16805227661,6130.27500937653,15508.3105841369,1016.92069088745,116960.746176422,7014.34652090454,2710.78070715332,46472.3659520568,NA,631359.126680664,9228.9955534668,3433.69804611206,17424.4550592346,389739.151263519,32697.8337408676,149998.008099709,251843.260237053
"F63912_17","F63912",5522.71597120666,671947.423683349,37850.2268669433,329.072034446716,61217.0293939209,21638.8834833069,32675.0460998535,3144.12604762267,1972.38034514618,NA,12287.9065206757,3362.86962561035,5239.89811602783,7657.27687669372,23730.9399550781,NA,47975.3634774323,35802.2977467651,885096.486327118,1939.04254133606,20713.8336099396,145624.371435547,323.954882904053,12600.401079834,16966.0609830628,5660.9979320221,7945.59945836639,17059.9569026489,6895.35586254882,26410.6511023559,330007.558066223,471309.093708496,20139.4021118469,NA,7308.49204931641,124057.438784149,55989.6200397645,19000.5432784729,209.327159454344,2064.48817555236,4781.15782644653,1638.32121670533,15537.2243667297,15328.156216156,15907.005122467,1241.62081797791,1324.3894440155,88213.9130187378,2793.87723069763,835844.525537422,9591.74611685943,7393.84191177368,33320.2391625823,77305.9716018067,3493.20350489807,348816.717271316,6521.59506311033,1103.59334924316,6229.51338201904,8214.32992123412,1648.76541737366,8353.92577124023,8833.23166209412,48044.794909668,5863.73364894103,31050.4054416809,2914.47699943542,495431.875084839,27535.8157492066,6289.91640859985,540.256167938232,2358.53024227905,57939.031940628,723.738655883781,33731.9331761474,4783.97148876954,172385.282685913,2287.97629895019,37985.4561199342,12199.4182415423,43132.4996506348,2448.7736138916,10328.1150315704,945638.353942566,4897.81880055237,8285.75294223023,20304.2554562836,885.720941421509,147644.379285522,7192.33021678161,2640.08589970398,64137.647405182,NA,843642.776637695,9160.58732568359,3732.11112423706,19251.4537731476,517728.986742477,57581.5470624084,207568.921965538,368384.688155815
"F63912_18","F63912",4249.26366557311,591889.199509857,27327.7958985139,209.9671774292,68531.1210269776,21148.5910150605,31269.1686965638,3335.1579125824,1619.9939813385,729.389392272971,11131.9825496979,2904.21933432007,7281.30858633422,7241.97820132446,12938.4325362549,NA,54248.4850058899,32721.6634084472,787224.020846222,1980.02133108521,15393.7483706513,113468.960552353,130.134224227904,10417.8356964111,27955.1479723816,6244.96843096923,8264.34805899048,16360.3458618164,7422.06432316588,27236.5503594968,288726.680686829,439547.081506943,19080.2115071411,NA,7152.39634184265,125913.785806702,50432.147848938,15635.636140564,808.366923797617,1816.59168547058,3886.51669211579,1395.71018026733,13745.7837940521,12411.6024440155,15693.3171433563,1150.34738972473,1414.01428909302,82011.5160644227,2561.20785138703,757309.690132186,8374.67835277557,5549.98553125003,13257.1297269592,64065.8766028595,3598.76661050415,331009.400143623,6847.7645447998,877.044813903808,5922.11027290345,10115.028787735,1148.9781015625,6106.90137350461,6630.33613145448,42717.1736418457,4812.96256452942,25728.0667922287,2069.46319477844,532678.457785156,24278.7524307861,7580.14899071502,854.930884048462,2488.69495596314,50951.6037939148,1526.36731686402,30269.4227296447,4317.86204785158,155127.995098328,2215.97791983032,33494.4289654694,12785.5292099365,42004.4259546814,2537.12523120881,8130.92125799561,1055527.88311212,6367.67831390381,6838.41836857605,17791.9548694916,1095.02586407471,133938.485934189,7792.56451853942,2486.67968972778,58258.7261087951,NA,765725.343334473,9079.06313159179,3291.26736674499,19506.9077145081,478773.353427795,47227.4924006043,194249.356976105,343215.979710502
"F9670_19","F9670",5085.01832022096,388486.947357789,17125.1335435944,6265.69494937898,36623.0862530517,10095.696654602,22376.3088061523,12941.2615044098,3756.45004698181,NA,10149.2450541992,1964.89472506714,15211.2482525025,7995.55539699555,12781.0906733551,NA,18719.600204071,28452.6313754425,508586.586681307,1716.19457217407,13032.1933271179,28136.7891368714,584.905638122558,7501.41858734894,14577.0504284058,2409.55227912903,13073.9180463562,11024.6106745301,4507.09923950195,12369.5801167297,97869.9861278075,119727.207728454,7383.81673852539,807.006224685668,3445.75247688293,64914.2517869262,55600.3398265989,6656.53413070679,352.076626579287,463.524871498107,7211.69955407715,NA,5637.69993391418,20076.7141917114,15816.1477353058,1172.14582731628,1715.67183596802,63540.6604564514,3648.97728703308,542475.695795181,4913.92102409363,3356.25032318115,96824.873585419,114170.110558517,856.451203231807,174298.424004196,5731.90645246889,761.516386672973,3066.93329399109,24356.8676902466,465.041502525329,6568.49227766418,1230.75926046753,21481.5161827774,2663.02767980957,18926.8844881592,9210.69373548889,110830.514412231,8398.67384080509,6591.29634007263,557.460599731445,1193.71955654144,21918.3026383056,1320.52038442993,16797.2806056519,1435.46814190674,114252.873690002,NA,34083.6138964538,11599.2010469234,31694.1204842529,3421.78142329407,3869.16041422273,760600.092066284,4469.18799740601,5319.1992434845,11666.7727765655,1306.2540271759,48396.9083694458,6428.96098287964,2999.21841964722,18362.2888907318,NA,155622.459626465,5971.93443896485,1953.83846643066,19365.1144965973,96477.9307200546,NA,68124.6971356583,231507.093935181
"F9670_20","F9670",7480.76962651061,337938.300228668,18673.0279503479,6299.64839677428,36470.6134534302,10201.2162962647,23243.9313084717,11607.481437439,1612.81086927796,680.48751200865,8138.13376654053,2165.41892041016,11568.6796633301,8174.1216091156,10836.2009243317,NA,19602.6554067078,21613.682776062,433610.431169708,1909.35801843262,11552.9937394257,27085.7706501312,232.505947036743,7514.33665487671,15662.1943233032,4228.66219329833,11521.0991246033,13511.5744802856,4262.15929400634,11633.9264173889,107480.620925629,117423.385226319,5553.75800341797,593.313299499512,3977.43096820068,67704.107095276,48157.6967340393,6256.30331497195,669.049573608399,830.085494415283,7430.95371322631,NA,6393.61469027711,17068.7954754791,16205.700344162,789.223222267153,1730.72009500122,67007.2895515137,3273.60726263428,472929.993617684,4655.56783844758,3613.32388107299,88890.1948353118,34988.0082037887,892.362496459966,179338.432432648,5378.41531753541,1037.97751498413,3261.38670375061,15221.4315016327,769.58769101715,6012.41337866212,1591.92029760742,19039.3588773804,2381.2657809143,17267.3899702454,3786.50593908692,178874.631263061,9195.41827999875,8101.3058587723,561.11986026001,1257.24505169678,20117.8231685257,1148.52685018922,15304.041463745,2309.87225881959,106851.14749823,NA,27074.0958931579,13317.1875752625,26782.7025195312,3929.83757244874,4976.09534030151,802886.20407959,4236.6795462265,4650.48863322449,8174.04359053039,1368.54873217773,49345.0083160859,4974.84299552917,2597.29348321533,17926.478367691,NA,171778.70305957,9444.69681469726,2485.11082902527,19808.7009339447,104494.845575371,NA,69538.9727244263,233547.360714485
"F9670_21","F9670",2604.86195167541,260541.347587921,16114.8313692017,5470.54568608093,26331.4948430176,7621.04610284426,24100.98380896,8259.95403987121,2476.14411735535,NA,7171.3278768921,833.519047180175,11763.4725286255,8812.3185742569,12079.3178842621,NA,15268.5844634399,18539.1181052551,339643.119494415,1974.30497425842,8794.94332000732,19003.1180717621,NA,5486.5359851532,12919.0662658539,4744.46667669677,12040.4604016113,12878.6878516235,1832.86326718139,6883.82210481263,89447.0151932985,90813.8222199403,5917.20299824523,224.418795547485,2854.28318792725,47633.8193676605,29778.5997888794,4512.96586099244,NA,379.368206390381,4420.12779983521,NA,4956.13620439148,12099.9185744629,16837.4766881256,481.273721374512,2009.26193644715,60401.0437948456,3328.77846395874,364995.355355789,3182.48282415008,2014.84448342895,46353.8466647644,31750.7157744751,1344.01982281495,137384.081851654,3204.01242713929,1101.87409597778,2545.84209112549,8006.28444978331,471.149044067383,3990.95330514523,2185.41938694763,13859.2408559189,1914.17914920044,13924.0982466125,2030.44205818176,158884.85586438,7326.75407443241,5955.92287194824,855.08603757477,1279.05938815308,15907.3169552918,926.192445220953,12342.1470764771,1480.07078878784,85970.1128565673,NA,21253.4522730408,14535.0049504706,19857.5514035339,1744.91577883911,3984.74507639312,874753.877155639,4383.20394134521,3992.82616352844,6808.14999693297,1195.12947740173,44123.6126021881,5516.25416938782,2380.03039889526,12639.6424916992,NA,149636.179326172,7984.33302008056,1868.61673179626,21126.433389328,77336.5858184967,NA,53860.7010615234,180424.498691032
"H27930_22","H27930",5467.04792628479,492033.938908691,23334.2330517883,106.03251548767,48576.3940701294,20911.4127760925,11216.9123236084,4065.26797715758,1296.97904813385,614.754734741211,11496.2250453492,2585.16825878906,8851.6353184204,8138.08619035339,28563.0209691467,196.290962921152,36865.5845970765,41549.9987653655,641017.866525833,1979.08443135071,17386.1012340546,113060.63616391,279.621639953614,9813.40229142762,12672.0557572632,4819.34767992401,9588.13659422302,13523.5376674805,11169.6482184448,14833.0405286255,253765.80433905,241057.695158905,7540.52229803466,NA,4761.245122818,105290.539578049,32774.3615490722,12075.8256694031,NA,1723.29939292908,1253.94129304504,1273.42079640198,15357.987576828,27810.6049761963,15624.0256884079,683.261971435544,1802.64516756439,62157.232119873,3171.64875311279,646734.057521844,5740.83106330873,5633.2183837738,77739.3095793533,5482.55858010865,2072.71829847717,234235.892013954,5954.02478549193,1104.94206138611,3130.31884121704,9137.50026725768,1213.86263909912,3703.71780796814,5462.6393358307,36772.0591630707,4449.38410652161,23821.459702713,2883.03738629913,304351.362884278,15812.1670367432,6911.54956938934,884.312708122254,2143.03118338012,37924.8636627808,2564.85360720825,17004.7568230591,5030.94276843263,142541.934007751,1365.87050140381,32388.9888219146,12534.7024590616,32573.3233417358,3648.54721462249,7183.98159078975,895736.217840942,5699.6259200592,6447.24791667175,14272.1293035889,1446.97299455261,131799.584314926,8042.39006056213,1972.65269955444,34244.4556942445,NA,244130.833800781,9691.2018585205,2107.00069741821,19171.424904335,293456.399682297,18281.7265076828,116992.620783318,231541.212205269
"H27930_23","H27930",4567.10983296203,504806.420746856,23109.4795996093,216.567069076539,53271.5185023193,22792.9325915375,15475.9730715332,3881.11701000213,1173.34058150482,395.251052124014,12366.389616333,2639.20524031067,11740.2920359497,8049.57642710114,28105.0183078918,NA,28748.4903260193,39065.2775581969,655598.438861999,2010.79741966247,16688.2817016907,106811.349765533,NA,8738.86147242738,15779.5368937225,4791.61700512694,9628.15423005675,14608.958517395,9477.28793257139,22024.6572337952,254427.118391174,250845.019843323,7632.65340408326,NA,5502.78605591584,104182.939559158,41779.3464183044,12631.4203093872,461.794415115355,1683.33344181824,1342.87738749695,1232.76638575745,15802.0445288391,28954.7524547272,17676.3911608582,640.321624343871,1807.95050909424,66218.5554641418,2996.58425247192,662376.921412195,5865.9406661911,7672.75778411864,54349.9120248413,5378.22244239808,1948.5635593338,237309.837693809,3704.21937016296,871.798503479003,3384.88045930481,9380.65156037901,987.452056396483,4637.14378898619,5786.56261683655,38162.7127304993,4997.17431912232,24055.1664484253,5787.89231298828,376210.166768311,16874.0837324219,6907.39715789795,651.844704193116,2239.85935635376,37804.2600657959,2717.85125607299,18134.5495435486,3774.21788702394,142338.114619385,994.258857650755,37109.2793144989,13241.8677081209,32005.4566717835,2029.25400122833,7512.59969444275,927732.506601684,4050.5004740448,6305.93359373474,16430.0251732635,824.92036982727,138309.051935638,6329.67239064025,1548.37000457764,34214.5487077332,NA,265281.470915039,7806.84555615234,2782.00316365052,21534.9345521545,296519.832458236,19335.5499595871,119273.500889938,234091.852002174
"H27930_24","H27930",4489.34978846742,491827.354530395,24113.0543384094,NA,47208.1771882324,20252.1939033813,11553.2485360107,4351.11676695251,1557.12797068024,NA,12118.8228954315,3478.15226910401,9046.6642329712,7722.09753027344,28499.4268825836,NA,24522.4797801513,39130.4449118653,635362.315595947,2076.97752932739,15824.1150308685,95633.565977066,NA,10027.2576669311,14363.7306479797,5225.79790791322,9877.12584854125,15434.9343008423,10918.0048287964,16824.7510557556,240074.601076126,227385.206359344,7582.59808071899,102.246302963258,5427.76228146362,125103.541353973,39387.6725688476,13542.9297398987,270.015621002206,1960.85780212402,1269.069504776,1333.23362220764,15903.6563538361,26498.1483808136,16725.7160206909,511.356681015013,1618.45920161438,72454.9110331421,2923.72755186462,660715.423731842,5950.26901916504,5881.94943476868,77536.1753428955,5165.4139666214,1712.34355862426,238596.20027111,6279.56420883179,1011.70017364502,3566.73780039978,8201.68321777345,1139.25252705383,6491.87670971679,5475.6545247345,41729.5927428894,5179.05338780212,23592.5242988892,1964.40222660828,298007.655715576,16846.8728673401,5768.53150244141,808.695518196106,2076.32934233093,36006.0038566436,2629.86124514771,16801.3315887757,4942.45741796874,136183.539502075,921.398795242311,35898.5107222595,12300.4992551158,27263.2191816712,4068.71039704895,7527.98583381653,905023.377354004,3634.46792344665,6098.99715962219,13485.7832519531,671.020163024903,127905.89989061,6347.73114967347,2611.53951403809,31292.5933292084,NA,256659.799446289,10133.4847452393,3136.01873898315,20503.7324970856,313509.573871566,20751.3873113403,128401.078433601,231099.84129139
"H47921_25","H47921",6916.84211134337,592473.194526856,39438.7205474244,NA,98361.8994918212,22818.3088028412,30738.4732687988,10311.7005275574,3164.65794099426,182.848133468637,14141.4955156556,2094.22914834595,21702.3751015015,7021.95847607422,20870.7665921021,NA,39605.5541624756,40237.5821409607,760923.004973237,1700.60042893219,36957.4173932648,39045.2453722688,1086.42932627868,11039.7934203033,13863.7063740692,4554.09280744934,8899.56962782288,13515.85202771,13918.9533681641,21233.3312477417,290119.584017334,284467.08896051,29292.6451223755,1094.18640075684,4548.30492723083,100020.340487213,87295.4125124203,10608.7135399323,207.173361808772,735.290419075011,1380.48331446839,267.453634872437,32479.2203693848,28305.2374035339,14809.7926433716,551.247630767821,1484.5022829361,74188.6224316406,3311.81760203552,755178.951727714,10025.656196579,9667.12511874387,117193.446067665,4883.58073867798,1721.5784994812,331644.61697596,12409.3574339447,1390.78762597656,7157.28869369507,9386.70538951112,1374.39292979431,12692.9124314422,3768.56076834106,22048.8553544159,2841.55056730652,18364.9791659622,3278.91409223938,380941.17005664,19630.8562936859,7903.17080210877,985.805267906189,2024.51219210816,45127.3984214782,2326.05754335021,25675.7462427369,3488.91052728271,216209.108232056,NA,54053.0610993347,18715.0159221213,60498.2367727661,4067.05621772766,7261.80805157472,918983.148709778,4880.55092225647,5440.39861171722,24369.2074801636,1235.99559739685,128479.1612518,13666.3144549561,2802.2623164978,52433.9389847412,NA,443078.38943506,7803.12735479736,3449.60139138794,17916.4161186066,324573.133856552,21826.3695355377,137565.793706711,297044.65155014
"H47921_26","H47921",1012.51213230896,257054.570128418,18969.3372208252,NA,41628.1249176025,12027.2119755249,22245.1131635742,8808.66493222045,1758.96224241638,NA,6109.6894832611,730.657468383789,11595.7104032288,6913.54018028259,12496.6183207092,NA,21872.2316487427,26411.3474462585,329173.973783844,1666.06601332092,16194.9745667267,20126.4854983521,1039.76506855774,5099.32814025878,12290.7386032562,4350.32987889099,12109.4705660095,14907.3524020386,5904.68129010009,13293.6810188599,145911.870481018,134224.804321533,14319.349187561,242.903318908691,3961.21450202942,55275.1262090149,38549.4419556885,3466.03939509582,470.433467010493,481.530788444521,756.382095008848,528.569759719848,19221.6160675964,10650.0846836395,14983.9317588501,275.855650955199,2311.75322544861,55873.5683910828,2819.36375045776,361126.969143646,4155.9098972702,2141.44558860779,78231.6165407791,3702.68912130737,1196.08752420044,152242.799549736,4115.11427774048,820.944353622436,3890.07060386658,5093.45829821777,213.713811515807,4739.87203269196,3273.33468673706,13177.5586334534,1506.06934628296,9531.90084449005,3517.1336422348,144956.41896936,11914.2058640137,7756.66907942199,1109.27773272705,1849.21807577515,21542.472581131,1837.98629598999,14545.6581715088,2063.19736328125,95068.7767838745,NA,23353.2238394775,16549.6734796337,27308.3840042419,3157.07666813659,4953.00377319336,823683.59897815,5177.62246331787,2743.10614298248,6962.3391023712,1361.54558540344,65070.7694236755,5713.78895487976,3049.61723287964,22285.8849019928,NA,260718.922515625,9078.87774133302,2469.36091809082,18033.9989303436,160992.484284546,892.491733688356,64687.8335907211,136541.843251732
